id	reasoning	on_target	sentiment_score	sentiment_ció
24	Reform is associated with admiration for Putin, spreading Russian propaganda, and criminal behaviour by its former Welsh leader — strongly negative characterisation.	1	-1.0	
25	Reform is speaking here, promoting its own position and framing itself positively as representing 'real change'. Reform is the speaker asserting its own narrative.	0	0.0	
26	Reform's campaign letters are described as 'crass' and 'incredibly insensitive' for being sent on the day of a tribute to a recently deceased MS — strongly negative characterisation of Reform's conduct.	1	-1.0	
27	Reform is described as having 'doubled down on false claims' — directly accusing the party of spreading misinformation.	1	-1.0	
28	Reform is described as a 'hard-right populist' party — a negative characterisation of Reform's ideological positioning.	1	-1.0	
29	Reform/Farage is characterised as having 'hateful, extreme politics' — a strongly negative characterisation.	1	-1.0	
30	The sentence reports that Sir Keir is expected to brand Farage's policies a 'mad experiment'. This is a negative characterisation of Reform UK's policies by Labour's leader. Reform UK's policies are being judged negatively.	1	-1.0	
31	The sentence reports Nigel Farage (Reform UK leader) speaking/claiming about the government's immigration plans. Reform UK is the speaker here, not being judged. The judgment targets the Government.	0	0.0	
32	The sentence describes a Reform UK Llanelli account responding to criticism. Reform UK is acting as speaker here. The prior sentence calls the behaviour 'disgusting' but that targets the candidate, and the assessed sentence is Reform UK responding. However, the broader context includes a negative framing of Reform. The sentence itself has Reform UK as speaker, not subject of judgment.	0	0.0	
33	The sentence says it is 'pretty extraordinary' that neutrality rules were set aside to 'accommodate a Reform candidate', implying Reform received special or improper treatment. This negatively characterises Reform UK, suggesting they benefit from rule-bending.	1	-0.5	
34	The sentence reports Jane Dodds saying Farage had 'some real cheek' to come to Port Talbot and 'promise them the world'. This is a negative characterisation of Farage/Reform UK's behaviour and sincerity.	1	-0.5	
35	The sentence describes Jenrick (a new Reform recruit) claiming only Reform could fix broken Britain. While this is technically positive toward Reform from Jenrick's perspective, the context frames this as Jenrick's defection speech. The sentence itself presents Reform as the solution in Jenrick's words, which is a positive framing for Reform. However, the overall article context frames this as a defection story. The sentence itself portrays Reform positively via Jenrick's claims.	1	0.5	
36	The sentence is a quote from a Lib Dem MP saying Farage wants to do away with Churchill's Britain and turn it into Trump's America. This is a strongly negative characterisation of Reform UK/Farage's agenda.	1	-1.0	
37	The sentence quotes Farage saying 'we provoked this war' regarding Russia/Ukraine. Farage/Reform UK is speaking here, expressing a controversial view. The text is presenting Farage's own words rather than judging Reform UK from outside. However, the framing of presenting these controversial statements can imply negative portrayal. The sentence is primarily Farage speaking, making him the speaker not subject of judgment.	0	0.0	
38	The sentence is from Plaid Cymru urging people to 'stop Reform'. Reform is characterised negatively (empty slogans, failing to offer solutions) in the broader context. The sentence itself frames Reform as something to be stopped, which is negative.	1	-0.5	
39	The sentence describes a rant about Richard Tice (Reform UK leader) by Robinson. It notes Reform is 'polling far higher than UKIP' (factual/neutral) and mentions Lee Anderson defected to Reform. The sentence itself is descriptive of Robinson's comments rather than directly judging Reform UK. Reform is mentioned in passing as the subject of Robinson's rant.	0	0.0	
40	The sentence describes text messages in a Reform branch revealing jokes about slapping an MS and spreading misinformation linked to a far-right group. This is strongly negative toward Reform UK, associating them with far-right connections and inappropriate behaviour.	1	-1.0	
41	The sentence says Reform UK has been 'hit by a series of revelations' about candidates' online activities, including links to fascism and admiration of Hitler. This is strongly negative toward Reform UK.	1	-1.0	
42	The sentence is a quote from a Reform source saying 'over confidence came home to roost', acknowledging their loss. This is Reform speaking about their own failure, making them the speaker. However, the content acknowledges a negative outcome for Reform.	0	0.0	
43	The sentence notes two Tory councillors defecting to Reform. This is a neutral factual mention of Reform in passing, not a judgment of Reform's character or policies.	0	0.0	
44	The sentence reports that Starmer will target Reform UK's 'politics of grievance'. This frames Reform UK negatively as practising 'politics of grievance'.	1	-0.5	
45	The sentence mentions Reform in context of Labour voters turning to Plaid to defeat Reform. Reform is mentioned as something to be defeated, implying they are a threat. This is mildly negative toward Reform.	1	-0.5	
46	The sentence quotes a spokesperson saying Reform's new Wales leader 'was a London councillor until two months ago telling Wales what it needs'. This is a negative characterisation of Reform's Welsh leadership as out-of-touch.	1	-0.5	
47	The sentence questions whether Farage 'really cares about the people of Clacton' given his US speaking fees. This is a negative characterisation of Farage/Reform UK's sincerity and commitment to constituents.	1	-0.5	
48	The sentence accuses Farage and other Reform figures of 'repeating Putin's messaging' which is described as 'anti-European' and 'anti-western'. This is strongly negative toward Reform UK.	1	-1.0	
49	The sentence claims a Reform-led Senedd would 'jeopardise free prescriptions and the entire NHS'. This is a strongly negative characterisation of Reform UK's potential governance.	1	-1.0	
50	The sentence reports Farage being accused by the Archbishop of York of an 'isolationist, short-term kneejerk' response. This is a negative characterisation of Reform UK/Farage's policy.	1	-0.5	
51	The sentence notes that Dan Morgan of Voice of Wales was 'the driving force behind a Reform UK supporters' group in Swansea'. In context, this links Reform to a far-right group, which is negative toward Reform.	1	-0.5	
52	The sentence describes Reform as dressing up as 'respectable alternatives' but actually trying to 'con people' through their 'charlatan leader'. This is strongly negative toward Reform UK.	1	-1.0	
53	The sentence explicitly says research 'exposed the stupidity of Reform UK's policy of denying climate change'. This is strongly negative toward Reform UK.	1	-1.0	
54	The sentence says Reform has met requests to disown far-right groups with 'Radio Silence', implying complicity or indifference. This is negative toward Reform UK.	1	-0.5	
55	The sentence describes Nathan Gill as the 'disgraced former leader of Reform UK in Wales' who completed a sentence for accepting Russian bribes. This is strongly negative toward Reform UK.	1	-1.0	
56	The sentences quote Labour and Lib Dem figures criticising Farage for accepting 'the very worst of the Conservative Party' and showing 'complete lack of judgment', and calling him someone who 'recruits' ministers with 'selective amnesia'. This is strongly negative toward Reform UK/Farage.	1	-1.0	
57	The sentence claims Reform people in the Senedd would 'tear the institution down rather than make it a success'. This is a strongly negative characterisation of Reform UK's intentions.	1	-1.0	
58	The sentence describes a press release calling on a politician to 'come clean' over talks about defecting to Reform UK. Reform is mentioned factually in the context of defection talks. The judgment targets Evans, not Reform. Reform is mentioned in passing.	0	0.0	
59	The sentence quotes Labour's Anna Turley saying it is 'deeply embarrassing for Nigel Farage' that his new policy chief's first policy 'has already fallen apart'. This is negative toward Reform UK, framing them as incompetent.	1	-0.5	
60	The sentence quotes Farage criticising the TV industry and political class, and notes that his appearance on I'm A Celebrity 'normalised' his views. The normalisation framing is a mild negative characterisation of Reform UK/Farage, suggesting his views are problematic enough that normalising them is a concern.	1	-0.5	
61	A Conservative MS describes defectors to Reform UK as 'fair weather' Tories with 'questionable credentials'. This is a negative characterisation of Reform UK as a party attracting people of dubious quality.	1	-0.5	
62	The Liberal Democrats criticise Reform UK for 'ripping up' human rights and involving payments to autocratic regimes. This is a direct negative characterisation of Reform UK's policies.	1	-1.0	
63	Plaid Cymru's statement frames Reform UK as a threat to the NHS with plans to privatise it, and as wanting to hand power over Wales to England. This is strongly negative toward Reform UK.	1	-1.0	
64	The sentence describes Jenrick defecting to Reform UK and Badenoch offering a more positive message than him. Reform UK is not directly characterised positively or negatively here; the focus is on Badenoch vs Jenrick. Reform UK is only mentioned in passing as the party Jenrick joined. The judgment targets Badenoch's messaging strategy, not Reform UK.	0	0.0	
65	The text reports that Christians were offended by the Reform candidate's claim to be following God's path. The Labour source frames this negatively toward the Reform candidate, implying racist associations. This negatively characterises Reform UK.	1	-1.0	
66	This text is about renters' rights legislation and a homelessness minister's conduct. Reform UK is not mentioned in this sentence or the context. The subject is the Renters' Reform Coalition commenting on government policy. Reform UK is not assessed here.	0	0.0	
67	The sentence criticises Sunak for 'pandering to Reform' and calls on him to rule out Farage joining the Conservatives. Reform is framed as something to be kept away from the Conservatives, which is implicitly negative toward Reform, but the primary target of criticism is Sunak. Reform is cast as an undesirable force, which is mildly negative.	1	-0.5	
68	The context reveals that Hope Not Hate has uncovered 'disturbing facts' about Reform's appointed small business entrepreneur, who is described as a conspiracy theorist and fan of anti-Muslim extremist Tommy Robinson. This negatively reflects on Reform UK's judgment and associations.	1	-1.0	
69	Reform UK is directly characterised as having 'no answers' to Wales's problems, offering 'glib so-called solutions', and being associated with fascists and Nazis. This is strongly negative toward Reform UK.	1	-1.0	
70	The sentence reports Farage's stance on asylum seekers and the Prime Minister branding Reform's position as 'disgusting'. Reform UK's stance is characterised very negatively, with the PM calling it disgusting.	1	-1.0	
71	A Reform source calls the PM 'desperate, sinking in the polls and lashing out'. This is Reform speaking about someone else, not a characterisation of Reform. The sentence about Farage threatening legal action is reporting a fact. The overall framing here is Reform responding to criticism - Reform is not being judged in this sentence.	0	0.0	
72	Reform UK Llanelli is described as having unjustly smeared a social media user by falsely accusing him of complicity with rape gangs. This portrays Reform UK as acting dishonestly and maliciously.	1	-1.0	
73	The text states Reform UK needs to distance itself from neo-fascists, neo-Nazis, and convicted fraudsters who are publicly positioning themselves as Reform supporters in Wales. This is strongly negative toward Reform UK, implying dangerous far-right associations.	1	-1.0	
74	Plaid Cymru directly calls Reform UK 'a party of chancers and failed Tories, with no integrity and no answers for Wales.' This is a strongly negative characterisation.	1	-1.0	
75	The anti-fascist group describes Reform as a 'right wing populist party' and the context involves someone leaving Reform because it isn't 'extreme right wing enough'. The framing associates Reform with far-right politics while also noting activists were relieved the extremist left. Overall the characterisation of Reform as a right-wing populist party associated with alarming figures is moderately negative.	1	-0.5	
76	The sentence reports factually that Reform won a swathe of council seats in local elections, noting Labour performed poorly. This is a neutral to slightly positive factual statement about Reform's electoral performance.	1	0.5	
77	Farage is called a 'wolf' and the potential deal with Reform is described as 'dangerous and desperate'. This is strongly negative toward Reform UK/Farage.	1	-1.0	
78	A Reform council leader is described as having 'slammed' a Conservative MS. The sentence reports a conflict where Reform is taking action, but the characterisation of Reform is relatively neutral - they're reacting to criticism. Reform is not being negatively judged here; it's a factual account of a political dispute.	0	0.0	
79	The text describes attendees applauding a Reform MS who hinted at abolishing the Senedd, but notes this 'could cause embarrassment for the party' in the run-up to the Senedd election. This is a mildly negative characterisation, suggesting Reform's internal positions are politically problematic.	1	-0.5	
80	Plaid Cymru spokesperson accuses Reform of using Wales for their own gain, showing contempt, having no policies, and ducking scrutiny. This is strongly negative toward Reform UK.	1	-1.0	
81	This is a Reform spokesman speaking in defence of Reform, characterising attacks as 'smears' and a 'witch hunt'. Reform is the speaker here defending itself, not being assessed. The judgment targets the media and Labour.	0	0.0	
82	The Lib Dem leader calls Farage a 'snake oil salesman' and criticises his NHS policy. This is strongly negative toward Reform UK/Farage.	1	-1.0	
83	This sentence is about UKIP, not Reform UK directly. It notes UKIP is no longer the force it was under Farage. Reform UK is not assessed here.	0	0.0	
84	Downing Street criticises Reform's plans as 'old gimmicks'. This is a negative characterisation of Reform UK's policy proposals.	1	-0.5	
85	Farage and his party are called 'a danger to national security', with his loyalty questioned due to appearing on Putin's TV channel. This is strongly negative toward Reform UK.	1	-1.0	
86	A Conservative notes the party is losing votes to Reform. This is a factual statement about electoral trends, not a characterisation of Reform UK. Reform is mentioned in passing as a recipient of votes.	0	0.0	
87	Reform UK's support for Trump's 'drill baby drill' stance is described as 'selfish stupidity' that destroys the planet and children's futures. Farage is described as a climate change sceptic dismissing scientific consensus. This is strongly negative toward Reform UK.	1	-1.0	
88	Former Reform MP Rupert Lowe calls Farage's comments 'cowardice' and says they should abolish the Welsh Assembly. This is a negative characterisation of Reform UK from within the party itself, and the outdated name usage reflects negatively on Reform. Moderately negative.	1	-0.5	
89	The text states Reform's connection to Morgan, Tommy Robinson and Voice of Wales will cause its support to crumble, and that none of them have the interests of ordinary people at heart. This is strongly negative toward Reform UK.	1	-1.0	
90	The text includes Ed Davey comparing Farage's intentions to Putin's Russia and Trump's America, calling it 'deeply un-British'. This is a negative characterisation of Reform UK/Farage by a third party, judging the party's intentions and values.	1	-1.0	
91	The text directly characterises Farage/Reform as always siding with the rich and powerful against working people, and voting against worker protections. This is a strongly negative judgment of Reform's character and actions.	1	-1.0	
92	The text characterises Reform's ideological foundations as aligning with the far-right tradition rather than centre-right conservatism, and suggests it is reasonable not to platform them. This is a strongly negative characterisation of Reform UK.	1	-1.0	
93	The sentence neutrally states a factual policy position of Reform UK (opposition to net zero). No positive or negative judgment is made about the party itself in this sentence or its immediate context.	1	0.0	
94	The sentence reports that Reform UK is expected to win more seats than the Conservatives, which is a relatively neutral/positive factual statement about their electoral prospects. The warning from Plaid is about Reform being a threat, which is neutral-to-slightly-positive framing for Reform's electoral strength.	1	0.0	
95	Reform UK is described as 'Farage's lapdog' and 'simply recycled, washed-out Tories looking for a new political home'. This is a strongly negative characterisation of Reform UK by Plaid Cymru's leader.	1	-1.0	
96	Reform is referred to as 'Farage's lapdog' and the context suggests they cannot be trusted to run Wales' NHS and schools. This is a negative characterisation of Reform UK.	1	-1.0	
97	The text directly characterises Reform/Farage's donors as only interested in enriching themselves with no concern for Welsh working people. This is a strongly negative judgment of Reform UK's motivations and integrity.	1	-1.0	
98	Starmer accuses Farage/Reform of not believing in Britain and resorting to grievance. This is a negative characterisation of Reform UK. Farage's rebuttal targets Labour, not Reform itself being positively framed.	1	-1.0	
99	The PM characterises Reform as making 'rare visits to Parliament' and voting against workers' rights, framing their proposals as 'alien to working people' and full of 'bluster'. This is a negative assessment of Reform UK's conduct and policies.	1	-1.0	
100	The 'Reform' mentioned here refers to the Reform Synagogue in Cardiff, not Reform UK the political party. This is not assessing Reform UK at all.	0	0.0	
101	The text draws a comparison between Reform UK and the crypto-political dynamic in the US, implying Reform (like Trump) would use state power to benefit wealthy crypto backers. This is a moderately negative characterisation of Reform UK's interests and intentions.	1	-0.5	
102	The text describes Farage launching a small business initiative and praising entrepreneurs, which is relatively neutral/slightly positive framing of Reform's activities. However, the article ends with a note that anti-fascist organisation Hope Not Hate has uncovered 'disturbing facts' about the featured entrepreneur, casting a negative shadow on Reform's judgment.	1	-0.5	
103	Labour directly accuses Reform-run councils of failing to deliver savings, cutting services, raising taxes, and making 'empty promises with no real plan'. This is a negative assessment of Reform UK's governance record.	1	-1.0	
104	The sentence neutrally reports that Reform UK hopes to gain a Senedd seat in a by-election. The broader context mentions a 'deceptive' letter causing 'uproar', which is negative toward Reform, but the sentence itself is factual.	1	-0.5	
105	Reform voters are mentioned as a group Labour panders to, but there is no direct positive or negative characterisation of Reform UK itself being judged here. The criticism targets Labour for pandering to Reform voters.	0	0.0	
106	The sentence states that Miliband 'launched a fresh attack on Reform UK', framing Reform as calling for more oil and gas extraction. The context characterises Reform as 'frackers' needing to be 'sent packing'. This is a negative framing of Reform UK.	1	-1.0	
107	Reform's economics are described as 'fantasy economics' by the Welsh Conservative spokesperson. This is a negative characterisation of Reform UK's economic policies.	1	-1.0	
108	The sentence neutrally reports Farage's claim about US hostility to the Chagos Islands deal. Farage is speaking/making a claim, not being judged. The sentence is a neutral factual report.	0	0.0	
109	A former Reform member expresses excitement at joining Reform but then disappointment that it is 'the same old Conservatives'. This is a moderately negative characterisation of Reform UK — it turned out to be disappointing and just like the old Conservatives.	1	-0.5	
110	Farage is described as being on a mission to 'reindustrialise' Britain. This is Farage speaking and making claims, not a judgment of Reform UK. The sentence is reporting Farage's statements, not evaluating the party.	0	0.0	
111	Farage is described as launching a 'tirade' against the BBC while facing allegations of racism and antisemitism from his schooldays. 'Tirade' is a negatively loaded word, and the context of racism allegations frames Reform UK's leader negatively.	1	-1.0	
112	Reform is criticised for showing 'zero respect for voters' by selecting a candidate who had never heard of the area. Additionally, Reform's previous candidate was deselected for allegedly expressing admiration for a Nazi propaganda chief. This is a strongly negative portrayal of Reform UK.	1	-1.0	
113	Reform UK is accused of 'enabling extremists' and becoming 'a front organisation for extreme far-right groups and individuals'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
114	The sentence reports that Farage has claimed migrants are responsible for a rise in crime, which is presented in the context of a journalist 'exploding the myth'. This implicitly frames Farage/Reform's claims as false, which is moderately negative.	1	-0.5	
115	Plaid Cymru characterises Reform as 'just a bunch of ex-Tories who prioritise their careers over solving issues' and previously 'unserious'. This is a negative characterisation of Reform UK.	1	-1.0	
116	Reform's net zero policy is characterised as an 'anti-jobs, anti-growth ideology' that would cost almost one million jobs. This is a strongly negative characterisation of Reform UK's policies.	1	-1.0	
117	The sentence neutrally reports polling figures showing Reform UK vying for the top slot in Wales. This is neither positive nor negative — it reflects electoral strength. The context is about Labour's struggles, not about judging Reform.	1	0.0	
118	A Reform MP (Lowe) says 'Nigel Farage must never be prime minister', which is a negative statement about Reform's leader. This is a judgment targeting Reform UK's leadership from within. Moderately negative.	1	-1.0	
119	Reform is accused of 'blaming Nato for Russia's aggression', called 'a disgrace', and their former Wales leader is noted to have been 'sent to prison for taking bribes from Putin'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
120	Reform UK is speaking/quoted, not being judged. The statement is from a Reform UK spokesman denying Oliver Lewis is a spokesman.	0	0.0	
121	Reform UK is described as forming an 'unholy alliance' to 'denigrate' a programme and spreading misinformation. This is a strongly negative characterisation of Reform UK's actions.	1	-1.0	
122	The sentence reports a claim from a Reform UK insider about James Evans having discussions about defecting. Reform UK is mentioned as a source/actor but is not being judged itself; the focus is on James Evans' alleged behaviour.	0	0.0	
123	Reform is characterised as representing 'the rich English establishment', framing them negatively as elitist and out of touch with Welsh democracy.	1	-1.0	
124	Reform is described as spurring on 'puerile' anti-Welsh British nationalists who vandalise signs. This is a strongly negative characterisation of Reform.	1	-1.0	
125	Reform UK leader Richard Tice is branded a 'threatening bully' by a Tory chairman. This is a strongly negative characterisation of Reform UK's leader.	1	-1.0	
126	The sentence describes internal conflict involving a Reform councillor accused of dishonesty and other misconduct. Reform is portrayed negatively through the actions of its member.	1	-0.5	
127	Reform is directly characterised as having no clue how to solve Wales' problems. This is a negative assessment of Reform's competence.	1	-1.0	
128	Farage/Reform is described as having 'hateful, extreme politics' and banking on weakness. This is a strongly negative characterisation of Reform UK.	1	-1.0	
129	The sentence states Reform UK isn't going to privatise the NHS, which is a factual/neutral or mildly positive framing for Reform, defending them from a Labour attack. However the speaker is defending Reform from a Labour accusation, framing Reform somewhat positively.	1	0.5	
130	Reform is characterised as having no First Minister candidate and being 'terrified' of announcing candidates. This is a negative assessment of Reform's organisation and competence.	1	-1.0	
131	Reform is mentioned in context of having 'lost friends and colleagues their jobs', framing Reform negatively as harmful to the Welsh Conservatives. However the main judgment targets Andrew Davies; Reform is mentioned as the force that cost Tories their jobs — a moderately negative framing of Reform.	1	-0.5	
132	Farage/Reform's politics are described as 'poisonous' and 'not welcome'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
133	The sentence reports polling data showing Reform UK on 27%. This is a neutral factual reporting of polling numbers, no positive or negative characterisation.	1	0.0	
134	The sentence reports factual electoral results — Reform won no seats in Wales/Scotland but came close in Llanelli. This is neutral factual reporting.	1	0.0	
135	Reform UK is described as having discontent and allegations of cronyism against its interim director in Wales. This is a negative characterisation of Reform's internal management.	1	-0.5	
136	Reform is described as having 'peddled a misleading message' throughout the by-election campaign. This is a negative characterisation of Reform as spreading misinformation.	1	-1.0	
137	Reform UK's regional director is described as making 'damaging' and 'irresponsible' claims. This is a negative characterisation of Reform UK's representative.	1	-1.0	
138	The sentence reports Farage's claim about a BBC 'set-up job'. Reform UK is the subject making a claim, not being judged positively or negatively by the text itself. The text is neutral in reporting his accusation.	0	0.0	
139	The sentence is a neutral image caption describing Farage smoking outside a pub. No judgment of Reform UK is being made.	0	0.0	
140	Reform UK is characterised as 'drama queens' by Kemi Badenoch. The text reports this negative characterisation of Reform.	1	-0.5	
141	Reform's proposals are described as a 'policing pipe dream' and 'unfunded fantasy' by the Conservative shadow minister. This is a negative assessment of Reform's policy competence.	1	-1.0	
142	Farage is called a 'fascist' and described as 'toxic and divisive'. This is a strongly negative characterisation of Reform UK's leader.	1	-1.0	
143	Reform is characterised as only able to 'shout slogans' with no actual plans. This is a strongly negative assessment of Reform's competence and substance.	1	-1.0	
144	Farage/Reform is accused of wanting to 'privatise the NHS' and 'come after people's pensions'. This is a strongly negative characterisation of Reform.	1	-1.0	
145	The sentence discusses how legitimising Reform's politics would boost Reform at Labour's expense. This is analytical commentary, not a direct positive or negative assessment of Reform itself — it's neutral/analytical about Reform's political position.	0	0.0	
146	Reform is explicitly accused of 'persistently telling lies' about the Nation of Sanctuary scheme. This is a strongly negative characterisation of Reform.	1	-1.0	
147	Reform UK's new Wales leader is described as Nigel Farage's 'lapdog'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
148	The sentence describes Farage's claim about the US military operation. The word 'unorthodox' is used to describe Farage as a leader, which is mildly characterising but the sentence is mainly reporting his statement. The label 'unorthodox' for Farage is slightly negative/neutral but the main content is reporting his views.	1	-0.5	
149	Reform UK is described as having 'failed to condemn' notorious fascists organising pro-Reform stunts. This is a strongly negative characterisation of Reform UK.	1	-1.0	
150	The sentence is from an anti-fascist group's statement. While it notes Reform activists were relieved that Taylor left, the overall context describes Reform as a 'right wing populist party' and references Taylor leaving because it isn't 'extreme right wing enough'. The framing associates Reform with extreme right-wing politics, even if the specific sentence notes internal relief. The party is being characterised as associated with far-right elements, which is moderately negative toward Reform.	1	-0.5	
151	The sentence characterises Reform as a 'one-man band' that 'is in chaos once again', directly judging the party's organisation and effectiveness negatively. The quoted speaker is criticising Reform's leader and by extension the party.	1	-1.0	
152	The text reports that Reform UK used offensive language in internal chats against journalists and that a Reform UK barrister attempted to bully media outlets with spurious legal threats. These are negative characterisations of Reform UK's conduct.	1	-1.0	
153	The sentence reports Reform UK's leadership accusing the BBC of bias. Reform is the speaker/actor here making accusations, not being judged itself. The sentence is factual reporting of Reform's claims without editorial judgment on Reform's character or competence.	0	0.0	
154	Reform is being described as a 'one-man personality cult' by the Welsh Conservative leader. This is a direct negative characterisation of Reform UK as a party.	1	-1.0	
155	The sentence implies Reform receives donations from fossil fuel companies in a context that frames this as suspicious or corrupt (the word 'Coincidentally' is used sarcastically). This is a negative framing of Reform UK's funding and integrity.	1	-0.5	
156	The sentence directly states that a vote for Reform would 'open politics in this country to vile and evil doctrines'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
157	The sentence reports that Reform's regional director did not welcome Jenrick's defection. This is neutral factual reporting of Reform's actions without strong positive or negative framing.	1	0.0	
158	The text describes a puzzling donation to Reform UK from a company with overdue accounts and a large trading loss, implying something suspicious about Reform's funding. This is a moderately negative framing of Reform UK's financial dealings.	1	-0.5	
159	The sentence mentions Reform in the context of 'dog whistle politics', but the judgment is directed at Darren Millar and the Conservatives for trying to compete with Reform. Reform is mentioned but not directly judged in this sentence.	0	0.0	
160	The context includes a letter accusing Farage of 'racist and antisemitic behaviour' and recalling his 'high regard for Fascist leaders'. The sentence itself is part of Reform's response calling it a 'witch hunt', so in the sentence Reform is speaking. However, the broader context including the letter strongly judges Reform's leader negatively. The sentence itself has Reform as speaker, not subject of judgment.	0	0.0	
161	The Welsh Conservatives spokesperson describes Reform as 'refusing to subject itself to scrutiny', 'very good at producing glib soundbites', and 'very bad at devising credible policies or solutions'. This is a direct negative characterisation of Reform UK.	1	-1.0	
162	The sentence accuses Nigel Farage (Reform's leader) of treating the British people 'with contempt' and 'hiding'. This is a strongly negative characterisation of Reform's leader and by extension the party.	1	-1.0	
163	The sentence describes a council deputy leader being 'incensed' by a Reform leaflet and annotating it with 'Right wing rhetoric. Divisive politics.' The context compares Reform's language to Nazi terminology. This is a strongly negative framing of Reform UK.	1	-1.0	
164	The phrase 'perish the thought, Reform Ltd' indicates a negative view of Reform coming to power, but the judgment is mild and indirect. Reform is mentioned disparagingly but the sentence is more about political outcomes than a direct characterisation of Reform's qualities.	1	-0.5	
165	The text states a Reform UK barrister 'tried to bully' NationCymru and reveals allegations of instructing staff to 'diddle' mileage claims involving a Reform MS. This is a strongly negative portrayal of Reform UK's conduct.	1	-1.0	
166	The sentence states a Reform councillor 'has been slammed' following a campaign of abuse by a far-right group against a Muslim Labour candidate. This negatively portrays Reform UK by associating it with far-right abuse.	1	-1.0	
167	The context includes the Deputy PM questioning how Farage would prevent 'devastating crime' without the Online Safety Act, and calling his plans 'dangerous and irresponsible'. The sentence frames Farage/Reform as being unable to protect against serious crimes. This is a negative characterisation of Reform's policies.	1	-1.0	
168	Labour's chairwoman directly criticises Reform UK by saying Farage is 'stuffing his party full of failed Tories' and that it 'exposes his complete lack of judgment'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
169	The sentence reveals Cardiff's first Reform UK councillor works as a Senedd security guard and notes 'there are those who believe he shouldn't keep his job'. This is moderately negative framing suggesting concerns about Reform's elected representatives.	1	-0.5	
