id	reasoning	on_target	sentiment_score
26	Assess target Farage. His selection process is called 'wholly undemocratic'. Strong negative characterisation.	1	-1.0
27	Reform is described as 'in no sense a democratic party', run in an 'authoritarian manner'. Strong negative characterisation.	1	-1.0
28	Reform's leadership is described as lacking faith in its own members, and Farage's control framed as manipulative. Negative characterisation of Reform.	1	-1.0
29	Assess target Farage. He is described as wanting to 'control Wales from London', using 'minions' funded by billionaires with no Welsh interest. Strongly negative.	1	-1.0
30	Assess target Farage. His donors are characterised as self-interested, not caring about Welsh welfare. Strongly negative.	1	-1.0
31	Reform's presence in Barnet described as 'fleeting'; their group has ended. Moderately negative factual framing.	1	-0.5
32	Plaid is dismissed as just 'unpaid Labour/Plaid campaigners' by a hostile speaker — this is a negative characterisation of Plaid by a third party (James Evans, pre-defection). Assess target Plaid.	1	-0.5
33	A Plaid spokesperson is quoted attacking Reform. Plaid is the speaker, not being judged. Assess target Plaid.	0	0.0
34	Plaid is positively framed as standing up for Wales vs 'Farage's ex-Tory lapdogs'. Plaid is praised. Assess target Plaid.	1	0.5
35	Plaid is positively framed again as the party that can 'stop Reform'. Assess target Plaid.	1	0.5
36	Plaid is negatively described by Evans as 'separatists' who aren't the answer for Wales. Assess target Plaid.	1	-0.5
37	Reform is described as having '99% rubbish' policies and being a 'danger to national security'. Direct strong negative judgement. Assess target Reform.	1	-1.0
38	Reform is described as 'not a serious alternative for Wales'. Negative factual judgement. Assess target Reform.	1	-0.5
39	Reform's MS hit out at media pre-emptively; framing implies defensiveness/bad faith. Moderately negative characterisation of Reform.	1	-0.5
40	Reform's conference attendees heckled and booed journalists — negative characterisation of Reform's conduct/culture.	1	-1.0
41	Reform is merely the subject of reporting on the conference. No strong editorial judgment here — Reform is described neutrally as the party the defector joined.	0	0.0
42	Reform is described as 'a party of chancers and failed Tories, with no integrity and no answers for Wales'. Strongly negative characterisation.	1	-1.0
43	Assess target Farage. He is described as having 'ex-Tory lapdogs' running public services — strong negative characterisation.	1	-1.0
44	Reform is contextualised as something to be stopped; moderately negative — framing of Reform as a threat to be defeated. Assess target Reform.	1	-0.5
45	Reform is described as 'a danger to national security' with Russia links and plans to privatise NHS. Strongly negative. Assess target Reform.	1	-1.0
46	Reform described with 'attention seeking soundbites', 'big promises then backtracking'. Moderately negative characterisation. Assess target Reform.	1	-0.5
47	Reform is described as 'cannot be trusted', linked to Russia/Putin through Nathan Gill conviction. Strongly negative. Assess target Reform.	1	-1.0
48	Reform is described as 'a danger to national security' with proven Russia links. Strongly negative characterisation. Assess target Reform.	1	-1.0
49	Reform characterised as 'not a serious alternative for Wales'. Moderately negative. Assess target Reform.	1	-0.5
50	Plaid is described by Dan Thomas as 'out of touch' and trying to silence immigration debate. Negative characterisation of Plaid. Assess target Plaid.	1	-0.5
51	Plaid's leader describes Reform as 'lapdog' — Plaid is the speaker making an attack, not being judged. Assess target Plaid.	0	0.0
52	Plaid is positively framed — 'only Plaid Cymru can stop Reform'. Plaid praised as the alternative. Assess target Plaid.	1	0.5
53	Plaid is positively framed — 'a party that always stands up for Wales with Plaid Cymru'. Assess target Plaid.	1	0.5
54	Reform is described as making 'big promises' with 'no funding behind them' and 'U-turns'. Moderately negative. Assess target Reform.	1	-0.5
55	Reform is described as 'led by Tories' who 'jumped ship to save their own skins'. Moderately to strongly negative. Assess target Reform.	1	-1.0
56	Reform is described as needing a London councillor to lead Wales — framed as a deficiency. Moderately negative. Assess target Reform.	1	-0.5
57	Reform leader described as just 'Nigel Farage's puppet'. Strongly negative framing of Reform's autonomy/integrity. Assess target Reform.	1	-1.0
58	Assess target Farage. He is described as having his 'puppet' do his bidding — strongly negative characterisation.	1	-1.0
59	Reform leader described as 'another former Tory' — negative framing of Reform's composition. Assess target Reform.	1	-0.5
60	Assess target Dan Thomas. He is described as having built his career as a Conservative in England, framed as untrustworthy. Negative characterisation.	1	-0.5
61	Reform's leader described as Farage's 'lapdog'. Strong negative characterisation. Assess target Reform.	1	-1.0
62	Reform described as 'recycled, washed-out Tories'. Strongly negative characterisation. Assess target Reform.	1	-1.0
63	Reform described as treating Wales as 'nothing but a stepping stone'. Strongly negative. Assess target Reform.	1	-1.0
64	Only Plaid Cymru can stop Reform — positive framing of Plaid as effective opposition. Assess target Reform — Plaid is the speaker. Assess target Reform: merely mentioned as the threat to be stopped, moderately negative.	1	-0.5
65	Assess target Farage. Wales's Reform leader described as Farage's 'lapdog running our NHS and schools'. Strongly negative.	1	-1.0
66	Plaid is speaking, criticising Reform. Plaid is the speaker, not being judged. Assess target Plaid.	0	0.0
67	Plaid is positively framed — 'a party that always stands up for Wales with Plaid Cymru'. Assess target Plaid.	1	0.5
68	Plaid is positively framed — Plaid stands up for Wales vs Farage's lapdog. Assess target Plaid.	1	0.5
69	Reform is described as 'led by Tories' — negative characterisation of Reform. Assess target Reform.	1	-0.5
70	Reform described as party that all ex-Tories jump to 'to save their own skins'. Moderately negative framing. Assess target Reform.	1	-0.5
71	Reform described as needing a London councillor to lead Wales. Moderately negative. Assess target Reform.	1	-0.5
72	Reform is described as just 'Nigel Farage's puppet'. Strongly negative. Assess target Reform.	1	-1.0
73	Assess target Farage. Described as having his 'puppet' silence Welsh voices. Strongly negative.	1	-1.0
74	Reform leader described as 'another former Tory', Reform 'led by Tories'. Moderately negative. Assess target Reform.	1	-0.5
75	Reform described as 'recycled, washed-out Tories', Wales 'nothing but a stepping stone'. Strongly negative. Assess target Reform.	1	-1.0
76	Reform described as treating Wales as 'nothing but a stepping stone' for Farage. Strongly negative. Assess target Reform.	1	-1.0
77	Only Plaid can stop Reform — Reform framed as a threat to be stopped. Moderately negative framing of Reform. Assess target Reform.	1	-0.5
78	Assess target Reform. Plaid offers clear choice vs 'Farage's lapdog'. Strongly negative framing of Reform. Assess target Reform.	1	-1.0
79	Assess target Reform. Evans previously said Reform was 'full of hypocrites'. Strongly negative. Assess target Reform.	1	-1.0
80	Reform is described as should face a by-election — neutral procedural comment, no strong negative framing of Reform's character.	0	0.0
81	Plaid is referenced in article title/context re: smear attempt — the text describes the attempt to 'smear Plaid Cymru'. Plaid is a victim of the smear, not judged negatively. Assess target Plaid.	0	0.0
82	Plaid is the victim of a 'bizarre bid to smear' — Plaid is framed sympathetically, the smear attempt is characterised as bizarre. Positive for Plaid implicitly. Assess target Plaid.	1	0.5
83	Plaid is speaking (Plaid spokesperson criticising Tories/Reform). Plaid is the speaker. Assess target Plaid.	0	0.0
84	Plaid positively framed — 'voters turning to Plaid for serious, hopeful leadership'. Assess target Plaid.	1	1.0
85	Reform is described as part of a 'bizarre bid to smear Plaid'. Negatively characterises Reform's conduct. Assess target Reform.	1	-0.5
86	Plaid spokesperson is speaking, criticising Reform/Tories. Assess target Reform — Reform is described as engaged in 'culture-war theatrics'. Moderately negative. Assess target Reform.	1	-0.5
87	Reform is described as having 'settled on culture-war theatrics' with 'little to say about a positive vision'. Negative characterisation of Reform's competence. Assess target Reform.	1	-0.5
88	A Reform-adjacent party leader in Wales is described as a 'born again former teenage criminal and failed politician'. Strongly negative. Assess target Reform.	1	-1.0
89	Plaid MP is accused of failing to take up industry support. Negative characterisation of Plaid's competence/responsiveness. Assess target Plaid.	1	-0.5
90	Reform council leader slammed Tory MS — Reform is the speaker/actor responding. Not being judged negatively by the editorial voice. Assess target Reform.	0	0.0
91	Reform leader accused of 'eyeing up' town hall — characterised as pursuing plans without community consultation. Moderately negative. Assess target Reform.	1	-0.5
92	The Tory MS is speaking/quoting, criticising Reform's alleged plans. Assess target Reform — Reform is being criticised for lack of transparency/consultation. Moderately negative.	1	-0.5
93	Plaid is described as pursuing a 'salami-slice strategy toward independence' — a hostile negative framing of Plaid's policy. Assess target Plaid.	1	-0.5
94	Assess target Reform. Reform is 'appeasing' Plaid — framed as making a mistake by pursuing devolved powers. Moderately negative framing. Assess target Reform.	1	-0.5
95	Reform is described as the 'playground of the rich English establishment' — strongly negative characterisation. Assess target Reform.	1	-1.0
96	Reform is described as representing 'the rich English establishment' — strongly negative. Assess target Reform.	1	-1.0
97	Reform is described as not believing in core values Evans has, with the implication they accept unprincipled defectors. Moderately negative. Assess target Reform.	1	-0.5
98	Reform is used as vehicle for Tory opportunism — framed as attracting politicians saving their own skins. Moderately negative. Assess target Reform.	1	-0.5
99	Assess target Reform. Former chancellor/justice secretary from Tories joining Reform — framed negatively as people 'responsible for breaking Britain' jumping ship. Strongly negative.	1	-1.0
100	Plaid spokesperson is speaking, positively framing Plaid as trusted. Assess target Plaid — this is Plaid speaking, but it's a positive self-characterisation being reported. Plaid is being portrayed favourably.	1	0.5
101	Reform is described as turning down a candidate unless given top list status — framed as self-serving and opportunistic. Moderately negative. Assess target Reform.	1	-0.5
102	Reform described as 'fast becoming a retirement home for Conservatives'. Negative characterisation of Reform. Assess target Reform.	1	-0.5
103	Reform described as a 'retirement home' for career-protecting politicians. Strongly negative framing. Assess target Reform.	1	-1.0
104	Reform described as 'unserious' with Tories openly defecting to it — negative framing of Reform's credibility. Assess target Reform.	1	-0.5
105	Reform described as 'just a bunch of ex-Tories who prioritise their careers'. Strongly negative. Assess target Reform.	1	-1.0
106	Plaid is positively framed by a Tory critic as 'separatists' making a deal — negative framing of Plaid's budget as a 'stitch-up'. Assess target Plaid.	1	-0.5
107	Reform is merely mentioned as a party in speculation about defection. The article describes Reform neutrally in the context of an MS potentially joining. Assess target Reform.	0	0.0
108	Reform councillor is described as nodding with Evans — neutral factual reporting. Assess target Reform.	0	0.0
109	Reform described as having 'no leader, no policies, just complaints and slogans'. Strongly negative. Assess target Reform.	1	-1.0
110	A Reform UK activist is described as a prominent member before being suspended after a Nazi group connection was exposed — strongly negative for Reform. Assess target Reform.	1	-1.0
111	Plaid is criticised for pulling out at the last minute from a key business event — negative characterisation of Plaid's reliability. Assess target Plaid.	1	-0.5
112	Reform is mentioned as the predicted second party behind Plaid — neutral polling fact. Assess target Reform.	0	0.0
113	Plaid is described by an opponent's crowdfunder as 'separatists' pursuing policies hostile to Welsh people. Strongly negative framing of Plaid. Assess target Plaid.	1	-1.0
114	Plaid is positively framed — 'people are seeing through hateful rhetoric and choosing Plaid'. Assess target Plaid.	1	0.5
115	Reform's popularity is described as 'beginning to wane' and its rhetoric as 'hateful'. Negative characterisation. Assess target Reform.	1	-1.0
116	A Reform councillor is branded 'abhorrent' for comparing asylum seekers to online predators. Strongly negative. Assess target Reform.	1	-1.0
117	Jenrick defected to Reform having been caught 'plotting' in a 'damaging' way — framing is negative for Reform as an opportunistic destination. Assess target Reform.	1	-0.5
118	Reform is described as made up 'almost entirely of those who broke the country'. Strongly negative. Assess target Reform.	1	-1.0
119	Defection 'gets to the heart of what is wrong with Reform' — those who broke the country are Reform members. Strongly negative characterisation. Assess target Reform.	1	-1.0
120	Former Plaid leader is speaking on criminal responsibility — Plaid's position is described positively as evidence-based and principled. Assess target Plaid.	1	0.5
121	Plaid is accused of 'cosying up' to media by a Tory MS — negative framing of Plaid as having media allies. Assess target Plaid.	1	-0.5
122	Plaid is speaking, raising concerns about a housing scheme alongside colleagues. Plaid is the actor raising valid concerns, framed positively/neutrally. Assess target Plaid.	0	0.0
123	Plaid is the speaker criticising Lib Dems. Assess target Plaid — Plaid is speaking, not being judged.	0	0.0
124	Plaid is positively framed as the party that gives Welsh language proper respect. Assess target Plaid.	1	0.5
125	Reform is mentioned only as having sent Welsh correspondence in the past — mild, not a judgment on Reform's character. Assess target Reform.	0	0.0
126	Reform is described as the subject of 'cheap attacks' — the speaker is criticising Lib Dems for attacking Reform, which is a mild defence of Reform. Assess target Reform.	0	0.0
127	Reform is again described as the target of 'cheap attacks' — Lib Dems criticised for not having more positive agenda beyond attacking Reform. Assess target Reform.	0	0.0
128	Reform member announces candidacy — this is a factual report of a Reform member's statement. No editorial judgement on Reform. Assess target Reform.	0	0.0
129	Plaid is positively framed — 'momentum is with Plaid' and it has a 'positive vision'. Assess target Plaid.	1	0.5
130	Plaid is positively contrasted with Reform — 'Plaid Cymru is offering hope and ambition'. Plaid is praised. Assess target Plaid.	1	0.5
131	Plaid is positively framed as a credible vehicle for change with a clear purpose. Assess target Plaid.	1	0.5
132	Reform described as 'playing on people's fears and stoking anger'. Strongly negative characterisation. Assess target Reform.	1	-1.0
133	Plaid described as 'wanting to tear Britain apart' by Darren Millar — strongly negative third-party characterisation of Plaid. Assess target Plaid.	1	-1.0
134	Plaid accused of pretending to put Wales first while planning to 'bankrupt' the country. Strongly negative. Assess target Plaid.	1	-1.0
135	Plaid described as pursuing 'divisive, damaging separatism' that would cause 'catastrophic damage'. Strongly negative. Assess target Plaid.	1	-1.0
136	Reform is associated with a far-right activist who voted for them, without challenging his fraud conviction. Negative framing of Reform's associations. Assess target Reform.	1	-1.0
137	Plaid is described as 'on an upswing' — positive factual framing. The critique of a motion targets Labour, not Plaid. Assess target Plaid.	1	0.5
138	Reform described as thriving on 'anger without answers, blame without responsibility, slogans without solutions'. Strongly negative. Assess target Reform.	1	-1.0
139	Reform described as producing 'absolute politics of bile, hatred and abhorrence'. Strongly negative. Assess target Reform.	1	-1.0
140	Reform's candidates to be 'aggressively questioned' while avoiding media — framing is ironic and moderately negative about Reform's media avoidance. Assess target Reform.	1	-0.5
141	Assess target Farage. Final decisions rubber-stamped by Farage — framing implies undemocratic centralised control. Moderately negative.	1	-0.5
142	Plaid is merely mentioned as having confirmed the candidate's membership. No editorial judgment on Plaid. Assess target Plaid.	0	0.0
143	Reform's director was removed from a council position for non-attendance, and Reform's barrister used 'spurious' legal threats. Negative characterisation. Assess target Reform.	1	-0.5
144	Reform's complaint is reported neutrally; BBC defended its practices. No strong editorial judgment on Reform. Assess target Reform.	0	0.0
145	Reform used offensive language to describe journalists in internal chats — negative characterisation. Assess target Reform.	1	-0.5
146	Reform's barrister used 'spurious' legal threats to bully media — negative characterisation of Reform's conduct. Assess target Reform.	1	-0.5
147	Plaid is mentioned as affiliated with a candidate — neutral factual reporting. Assess target Plaid.	0	0.0
148	The woman 'used to attack Reform' is now a Plaid candidate — framed by Reform as a setup. The assess target is Plaid; the claim implies Plaid is operating dishonestly/strategically, negative framing of Plaid.	1	-0.5
149	Plaid is mentioned as the party in a debate — neutral context. Assess target Plaid.	0	0.0
150	Reform's former Welsh leader admitted taking Russian bribes — strongly negative characterisation for Reform. Assess target Reform.	1	-1.0
151	Reform supporters are described as having subjected someone to 'horrific social media abuse'. Strongly negative framing of Reform's supporters/culture. Assess target Reform.	1	-1.0
152	Reform is framed as the target of debate 'setup' — the framing is Reform's own narrative, not an editorial judgment against Reform. Assess target Reform.	0	0.0
153	Reform is accused of running an 'anti Reform disinformation campaign' — this is Reform's own spokesperson speaking; no editorial judgment on Reform itself. Assess target Reform.	0	0.0
154	Reform's leadership repeatedly accused the BBC of bias — neutral factual reporting of Reform's position. No editorial judgement. Assess target Reform.	0	0.0
155	Reform refused to participate in the debate — framed as a negative factual action. Moderately negative. Assess target Reform.	1	-0.5
156	Reform accused of 'cowardice' by other parties for not participating in scrutiny. Negative characterisation. Assess target Reform.	1	-1.0
157	Reform's attacks on Welsh media 'unequivocally condemned' by NUJ. Negative. Assess target Reform.	1	-0.5
158	Reform's internal chat revealed offensive language about journalists. Negative. Assess target Reform.	1	-0.5
159	Plaid is mentioned as participating in the debate — neutral. Assess target Plaid.	0	0.0
160	Plaid is accused by Reform of propping up Labour and being hypocritical. Negative characterisation of Plaid. Assess target Plaid.	1	-0.5
161	Plaid figures are described as ringing 'hollow' for sustaining the system they oppose. Moderately negative. Assess target Plaid.	1	-0.5
162	Plaid is described as speaking at the debate — neutral factual reporting. Assess target Plaid.	0	0.0
163	Reform's statement described as 'unbelievable and pathetic', exposing 'cowardice'. Strongly negative. Assess target Reform.	1	-1.0
164	Reform described as 'in turmoil', having posted a 'bizarre' statement and taken it down — negative framing. Assess target Reform.	1	-0.5
165	Reform's own statement justifying non-attendance — Reform is speaking, not being editorially judged in this sentence. Assess target Reform.	0	0.0
166	Reform's own defensive statement — Reform is the speaker. Assess target Reform.	0	0.0
167	Reform's own statement — Reform is speaking. Assess target Reform.	0	0.0
168	Assess target Farage. Context reveals Farage was accused of antisemitic taunts as a teenager and was put on the back foot — strongly negative characterisation.	1	-1.0
169	Assess target Farage. Context reveals Farage was paid £400k by GB News — framed alongside reference to the Mail's Nazi sympathies, implying guilt by association. Moderately to strongly negative.	1	-1.0
170	Plaid is participating in the debate alongside other parties — neutral factual context. Assess target Plaid.	0	0.0
171	Plaid is speaking (Mabon ap Gwynfor) criticising Reform. Assess target Plaid — Plaid is the speaker.	0	0.0
172	Reform described as 'absolutely disgraceful', having 'nothing to offer Wales', being 'charlatans'. Strongly negative. Assess target Reform.	1	-1.0
173	Reform described as 'charlatans', planning to avoid Welsh media — negative. Context also invokes Nazi sympathy of the Daily Mail. Strongly negative framing of Reform. Assess target Reform.	1	-1.0
174	Assess target Farage. He has been paid over £400k by GB News — reported alongside Nazi-sympathising history of the Daily Mail. Strongly negative framing of Farage.	1	-1.0
175	Plaid is described as participating in the debate; the Plaid spokesperson then criticises Reform. Plaid is the speaker in this context. Assess target Plaid.	0	0.0
176	Plaid is the speaker criticising Reform's 'utter contempt'. Assess target Plaid.	0	0.0
177	Plaid is positively framed — people 'chose hope over hate' by electing Plaid's 'positive vision'. Assess target Plaid.	1	1.0
178	Plaid is positively framed — described as the party that 'will never take communities for granted'. Assess target Plaid.	1	0.5
179	Reform described as having 'no plan for Wales', using Wales as 'a stepping stone'. Strongly negative. Assess target Reform.	1	-1.0
180	Reform described as having 'nothing to offer Wales', showing 'utter contempt'. Strongly negative. Assess target Reform.	1	-1.0
181	Reform described as producing 'damaging rhetoric' compared to Plaid's 'positive vision'. Moderately negative. Assess target Reform.	1	-0.5
182	Reform described as not caring about Wales, having no plan, using Wales as a stepping stone. Strongly negative. Assess target Reform.	1	-1.0
183	Reform described as having 'no leader, no plan' and using Wales as a stepping stone. Strongly negative. Assess target Reform.	1	-1.0
184	Reform described as refusing scrutiny, producing 'glib soundbites' without 'credible policies'. Strongly negative. Assess target Reform.	1	-1.0
185	Reform described as 'talk tough online but runs scared' — cowardly. Strongly negative. Assess target Reform.	1	-1.0
186	Reform described as 'hiding' candidates, leaders and policies, 'behaviour of cowards, not a serious political party'. Strongly negative. Assess target Reform.	1	-1.0
187	Reform accused of hiding what they stand for. Moderately negative. Assess target Reform.	1	-0.5
188	Plaid is positively framed — Tories come behind Plaid in former strongholds, indicating Plaid's strength. Assess target Plaid.	1	0.5
189	Plaid is positively framed as the party that will stop Reform. Assess target Plaid.	1	0.5
190	Plaid is positively framed — young voters support Plaid far more than Reform. Assess target Plaid.	1	0.5
191	Plaid is positively framed — Plaid has consistently supported a fairer electoral system. Assess target Plaid.	1	0.5
192	Plaid is directly appealed to for votes — positive framing of Plaid as the right electoral choice. Assess target Plaid.	1	0.5
193	Reform described as having Tories 'scrambling unedifyingly' to join it. Moderately negative. Assess target Reform.	1	-0.5
194	Reform comes third behind Plaid even in former Tory strongholds — negative factual framing of Reform's strength. Assess target Reform.	1	-0.5
195	Assess target Farage. He is characterised as 'nasty', with Tories trying to 'out-nasty' him. Strongly negative.	1	-1.0
196	Assess target Farage. Farage and his 'pals' are described as those who 'punch down on the weakest in society'. Strongly negative.	1	-1.0
197	Assess target Farage. Farage and his 'nasty gang' would be defeated. Strongly negative characterisation.	1	-1.0
198	Reform's polling among young voters is very low compared to Plaid — negative factual framing of Reform. Assess target Reform.	1	-0.5
199	Labour and Lib Dems performed worse than Reform — this is a neutral comparative polling fact. Reform is not negatively characterised here. Assess target Reform.	0	0.0
200	Reform is framed as a dangerous outcome — a Reform government or dominant Senedd result described as 'worst outcomes'. Strongly negative. Assess target Reform.	1	-1.0
201	Plaid described as failing Wales 'with support of Plaid Cymru' for 25+ years. Negative characterisation of Plaid. Assess target Plaid.	1	-0.5
202	Plaid described as 'more of the same' — implying Plaid offers no fresh approach. Moderately negative. Assess target Plaid.	1	-0.5
203	Reform described as not having 'a clue how to solve the problems Wales faces'. Strongly negative. Assess target Reform.	1	-1.0
204	Plaid described as failing Wales 'with Labour' for 25+ years. Negative characterisation. Assess target Plaid.	1	-0.5
205	Plaid described as 'more of the same', offering no meaningful change. Moderately negative. Assess target Plaid.	1	-0.5
206	Reform doesn't have 'a clue how to solve the problems Wales faces'. Strongly negative. Assess target Reform.	1	-1.0
207	Plaid is positively framed — voters putting more trust in Plaid, Plaid offers 'positive, pro-Wales vision'. Assess target Plaid.	1	0.5
208	Plaid is positively framed — 'more and more people are putting their trust in Plaid'. Assess target Plaid.	1	0.5
209	Reform described as having spent much of a campaign 'trying to stoke racial tensions for political advantage'. Strongly negative. Assess target Reform.	1	-1.0
210	Reform's Farage described as having 'skeletons' that put voters off. Moderately negative. Assess target Reform.	1	-0.5
211	Reform described as being cost by Farage's liabilities. Moderately negative. Assess target Reform.	1	-0.5
212	Assess target Farage. He is described as a supporter of the BNP, far right and antisemitic organisations, and denies it. Strongly negative.	1	-1.0
213	Assess target Farage. He is described as racist, dishonest, supporter of 'modern-day fascists', in a 'lifelong pattern of behaviour'. Strongly negative.	1	-1.0
214	Assess target Farage. He is accused of racism, dishonesty and supporting Putin/fascists — strongly negative characterisation.	1	-1.0
215	Assess target Farage. Described as admiring Putin and characterised as racist and dishonest. Strongly negative.	1	-1.0
216	Reform described as a 'personality cult' built around Farage, unwilling to empower anyone else. Moderately negative. Assess target Reform.	1	-0.5
217	Reform's first Welsh leader was jailed for taking Russian bribes — negative characterisation of Reform's record. Assess target Reform.	1	-1.0
218	Reform linked to a 'notorious far right activist' by association — negative framing. Assess target Reform.	1	-1.0
219	Reform described as aligned with 'alt-right playbook', and the YouTuber's content as a soft-launch to draw Christian vote to Reform. Moderately negative framing of Reform. Assess target Reform.	1	-0.5
220	No row 221 in readable data — skipping. NOTE: rows 212 in original file numbering already used. This ID corresponds to a gap row. Treating as unreadable.	0	0.0
221	No row readable at this position — gap. Assess target unknown.	0	0.0
222	No row readable at this position — gap.	0	0.0
223	Reform UK confident of winning Caerphilly but lost comfortably — negative factual framing of Reform's performance. Assess target Reform.	1	-0.5
224	Plaid MS is speaking, raising concerns about over-centralisation of health services. Plaid is the speaker/actor. Assess target Plaid.	0	0.0
225	Reform associated with a far right activist who endorsed its candidate and called for expulsion of Islam. Strongly negative. Assess target Reform.	1	-1.0
226	Reform's former deputy leader leads a party described as including a 'serial criminal'. Negative by association. Assess target Reform.	1	-0.5
227	Assess target Reform (Brexit Party). The Brexit Party is not the assess target here (Reform UK is). But the assess column says Brexit Party. The text describes a far-right activist standing for the Brexit Party — negatively characterised. Assess target Brexit Party.	1	-0.5
228	Reform is described as the party the far-right activist briefly joined — no direct editorial characterisation of Reform itself. Assess target Reform.	0	0.0
229	Reform described as having an activist with 'alarming personal history and dubious political past' — negative, but the article notes Reform activists relieved he left. Moderately negative for Reform's associations. Assess target Reform.	1	-0.5
230	Reform described as relieved when a man with 'alarming history' left — implicit acknowledgment of extreme elements in the party. Moderately negative. Assess target Reform.	1	-0.5
231	Reform's activist had 'dubious political history', jumped parties and is linked to 'Farage's newly formed Reform party'. Moderately negative. Assess target Reform.	1	-0.5
232	A Reform Mayoral candidate told a Black politician to 'go back to the Caribbean' — strongly negative characterisation of Reform's candidates. Assess target Reform.	1	-1.0
233	Reform's racism accusations should 'just be ignored' — this is a third-party speaker defending Reform's candidate's racist remarks. Reform is associated with racism here. Assess target Reform.	1	-1.0
234	Reform described as party whose Farage is 'not the Messiah' and that will implode. Moderately negative for Reform. Assess target Reform.	1	-0.5
235	Plaid is mentioned only as a data point in polling analysis. Neutral. Assess target Plaid.	0	0.0
236	Reform is mentioned only as a data point — Reform as challenger in the valleys. Neutral framing. Assess target Reform.	0	0.0
237	Reform's plans described as 'outrageous', showing 'zero understanding' of the civil service. Strongly negative. Assess target Reform.	1	-1.0
238	Plaid is the speaker raising criticisms of UK government. Assess target Plaid — Plaid is speaking, not being judged. Assess target Plaid.	0	0.0
239	Assess target Iorwerth. He is described as leading criticism and showing strong advocacy for Wales. Positive framing of his leadership. Assess target Iorwerth.	1	0.5
240	Assess target Iorwerth. He is described as forcefully challenging Labour over devolution — active, engaged leader. Positive characterisation.	1	0.5
241	Plaid described as 'propped up' Labour and pursuing an 'extreme socialist agenda'. Negative third-party characterisation. Assess target Plaid.	1	-0.5
242	Plaid's policy described as 'salami-slicing' toward independence — negative characterisation. Assess target Plaid.	1	-0.5
